Function,Red,Green,Blue,Clear,ColorTemp,Lux
1,2290,3566,2690,8974,6094,2916
1,2473,3761,2663,9405,5532,3184
1,19630,41262,16127,65535,4101,46950
1,57127,65535,51302,65535,5387,47343
1,2202,3476,2599,8668,6054,2869
1,2202,3321,2357,8174,5526,2801
1,2731,3812,2792,9833,5535,3086
1,2446,3537,2545,8979,5508,2925
1,2332,3265,2260,8292,5165,2742
1,2637,3815,2760,9677,5548,3145
1,2466,3946,2867,9759,5853,3329
1,2766,3754,2751,9672,5454,3013
1,2493,3974,2955,9886,6032,3300
1,2411,3448,2467,8755,5437,2853
1,2383,3430,2195,8409,4822,3033
1,2633,3616,2613,9406,5389,2940
1,2614,3735,2694,9493,5491,3074
1,2370,3571,2588,8977,5674,2972
1,2119,3285,2300,7998,5505,2813
1,2494,3502,2387,8749,5083,2970
1,2623,3838,2784,9759,5599,3168
1,2677,3769,2762,9587,5564,3058
1,62631,65535,57255,65535,6159,41199
1,59749,65535,54248,65535,5732,44335
1,57334,65535,51825,65535,5461,46893
1,61042,65535,57935,65535,6478,41217
1,62243,65535,57713,65535,6309,40989
1,61792,65535,60659,65535,7228,38980
1,59990,65535,60290,65535,7289,39835
1,64121,65535,58878,65535,6445,39527
1,59180,65535,53361,65535,5603,45169
1,42490,55437,37876,65535,4893,45983
1,64068,65535,59921,65535,6756,38781
1,62560,65535,57014,65535,6106,41398
1,59489,65535,55713,65535,6066,43347
1,62366,65535,57690,65535,6292,40966
1,58114,65535,52996,65535,5615,45782
1,60219,65535,55050,65535,5860,43596
1,61119,65535,55615,65535,5908,42890
1,61052,65535,57633,65535,6397,41435
1,59916,65535,54081,65535,5686,44403
1,61983,65535,55921,65535,5903,42385
1,62490,65535,56708,65535,6039,41645
1,60369,65535,54761,65535,5787,43758
1,62464,65535,57047,65535,6123,41405
1,61377,65535,55626,65535,5889,42798
1,63908,65535,59285,65535,6582,39298
1,64843,65535,59617,65535,6586,38752
1,57262,65535,51405,65535,5395,47223
1,60896,65535,59133,65535,6831,40387
1,64239,65535,60175,65535,6817,38539
1,63527,65535,58174,65535,6311,40235
1,63427,65535,58481,65535,6403,40043
1,62179,65535,57202,65535,6186,41384
1,64740,65535,63747,65535,8105,35762
1,65535,65535,64255,65535,8241,35133
1,57732,65535,52326,65535,5521,46397
1,62235,65535,59599,65535,6841,39612
1,62300,65535,55929,65535,5878,42277
1,58548,65535,52647,65535,5518,45897
1,63525,65535,59683,65535,6738,39131
1,64959,65535,62354,65535,7499,36711
1,58268,65535,59528,65535,7211,40952
1,64012,65535,62741,65535,7761,36735
1,204,213,166,576,4956,148
1,244,258,200,698,4969,181
1,265,278,215,756,4918,195
1,273,283,219,771,4871,197
1,298,309,238,845,4838,216
1,743,892,833,2487,8181,557
1,1131,1377,1340,3884,9419,825
1,1706,2095,2037,5877,9445,1261
1,65359,65535,60266,65535,6731,38109
1,63912,65535,62105,65535,7521,37233
1,63154,65535,60035,65535,6884,38994
1,62125,65535,61327,65535,7428,38383
1,65430,65535,61403,65535,7098,37254
1,58513,65535,52378,65535,5473,46105
1,62049,65535,57216,65535,6201,41416
1,2635,3757,2714,9570,5496,3088
1,2591,3548,2559,9155,5367,2885
1,2481,3492,2528,9014,5474,2855
1,60327,65535,55363,65535,5919,43331
1,61385,65535,59571,65535,6916,39908
1,62931,65535,60710,65535,7127,38573
1,2585,3630,2588,9304,5361,2996
1,2676,3647,2660,9463,5432,2940
1,2262,3477,2645,8866,6134,2817
1,2427,3558,2526,8750,5452,2979
1,2221,3183,2375,8246,5759,2564
1,2456,3380,2377,8620,5215,2797
1,2191,3496,2573,8694,5949,2923
1,700,710,558,1981,4891,484
1,2557,3703,2725,9308,5679,3020
1,2224,3053,2214,7767,5413,2476
1,2264,3505,2556,8821,5795,2926
1,2218,3773,2876,9309,6432,3130
1,2462,3492,2602,9022,5717,2807
1,2288,3497,2697,9032,6248,2802
1,2206,3394,2487,8550,5816,2820
1,355,379,320,1015,5825,248
1,2212,3288,2288,8213,5357,2796
1,350,371,313,995,5779,242
1,2012,3530,2640,8621,6330,2986
1,344,367,314,981,5984,237
1,2526,3693,2710,9362,5685,3025
1,264,273,217,732,5070,186
1,250,259,206,693,5084,176
1,342,357,307,955,5933,227
1,277,289,226,780,4979,200
1,246,257,201,693,4985,178
1,321,331,258,902,4902,229
1,2419,3474,2569,8896,5693,2817
1,65535,65535,61871,65535,7253,36877
1,62935,65535,57361,65535,6158,41022
1,2245,3409,2489,8557,5752,2830
1,2437,3418,2344,8569,5115,2888
1,19700,43581,16778,65535,4132,50111
1,287,310,251,835,5435,212
1,60894,65535,61099,65535,7477,38949
1,21962,5606,4992,31529,512,63601
1,2320,3248,2445,8464,5761,2583
1,63305,65535,59617,65535,6740,39251
1,2250,3130,2316,8036,5602,2514
1,64394,65535,61341,65535,7188,37636
1,19318,39500,15448,65535,4071,44767
1,242,255,201,694,5086,176
1,2322,3222,2445,8330,5801,2542
1,65535,65535,64339,65535,8281,35071
1,2577,3586,2661,9249,5626,2875
1,60271,65535,54886,65535,5821,43699
1,252,263,206,710,4993,182
1,2460,3713,2725,9418,5776,3067
1,64711,65535,59600,65535,6595,38807
1,63277,65535,57464,65535,6152,40836
1,65535,65535,60680,65535,6844,37749
1,2422,3338,2480,8631,5606,2667
1,65535,65535,61602,65535,7156,37074
1,2301,3354,2465,8531,5688,2742
1,20119,44366,17140,65535,4134,50949
1,254,265,211,695,5125,181
1,22022,5368,4696,31256,6817,63422
1,265,280,218,760,4999,196
1,2493,3759,2749,9433,5745,3111
1,2475,3632,2636,9237,5612,2999
1,62344,65535,57041,65535,6132,41448
1,19983,42227,16502,65535,4106,48084
1,2317,3242,2281,8147,5264,2695
1,22171,5630,4879,31580,34031,63654
1,277,289,223,793,4878,203
1,2300,3642,2599,8946,5691,3099
1,62005,65535,58803,65535,6628,40269
1,2377,3580,2643,9015,5817,2944
1,65535,65535,64717,65535,8464,34794
1,2226,3251,2391,8225,5699,2658
